frame,row_id,type,landmark_index,x,y,z
102,102-left_hand-0,left_hand,0,0.16079744586238154,0.15324011334666499,5.770617432458662e-08
102,102-left_hand-1,left_hand,1,0.15540960099962023,0.1435153638875043,0.0017579840496182442
102,102-left_hand-2,left_hand,2,0.15056297293415777,0.13175384865866768,0.0008169388295047813
102,102-left_hand-3,left_hand,3,0.14548079393528127,0.12327994792549699,-0.0009476778968409808
102,102-left_hand-4,left_hand,4,0.14023942859084518,0.11825022653297142,-0.003350094836032777
102,102-left_hand-5,left_hand,5,0.1556355290942722,0.12094094466280055,-0.0034279856158213485
102,102-left_hand-6,left_hand,6,0.14846604179452966,0.10564428015991494,-0.007965537133040252
102,102-left_hand-7,left_hand,7,0.14400875789147835,0.09700372815132141,-0.010936427723478389
102,102-left_hand-8,left_hand,8,0.14078538064603452,0.09012913372781542,-0.01292239878050707
102,102-left_hand-9,left_hand,9,0.155067746286039,0.12220539428569653,-0.007579866003383089
102,102-left_hand-10,left_hand,10,0.14606369645507247,0.10524079755500511,-0.011979406837511945
102,102-left_hand-11,left_hand,11,0.14055996470981175,0.09544068023010537,-0.014757974280251397
102,102-left_hand-12,left_hand,12,0.13675785285455208,0.0876043681745176,-0.01676103017396397
102,102-left_hand-13,left_hand,13,0.15280771476251107,0.12555046876271567,-0.0116075298714417
102,102-left_hand-14,left_hand,14,0.1433932074794063,0.10956330100695293,-0.015647055788172617
102,102-left_hand-15,left_hand,15,0.1374837005579913,0.1004019037440971,-0.01792823730243577
102,102-left_hand-16,left_hand,16,0.1335522841524195,0.09293285453761066,-0.01956178027170676
102,102-left_hand-17,left_hand,17,0.1488727816828975,0.13061793865980925,-0.015366763980300338
102,102-left_hand-18,left_hand,18,0.14162790775299072,0.11962069736586677,-0.019103662421305973
102,102-left_hand-19,left_hand,19,0.13706628923062925,0.11269477230531198,-0.020534063654917258
102,102-left_hand-20,left_hand,20,0.13340947583869653,0.10656071371502346,-0.021492922471629247
102,102-right_hand-0,right_hand,0,0.05681140996791698,0.18999778341363976,9.868822545997689e-08
102,102-right_hand-1,right_hand,1,0.07222272621260749,0.17959573092284026,0.0006129604474457059
102,102-right_hand-2,right_hand,2,0.08304225405057271,0.16515788987830834,-0.000866068354635327
102,102-right_hand-3,right_hand,3,0.09156821502579583,0.15618602434794107,-0.0036066280574434334
102,102-right_hand-4,right_hand,4,0.0973147209043856,0.15076740582784018,-0.006799652646468194
102,102-right_hand-5,right_hand,5,0.07157455605489237,0.1476443431995533,-0.0032576089638664766
102,102-right_hand-6,right_hand,6,0.08119456304444207,0.12951099431073224,-0.009517138823866844
102,102-right_hand-7,right_hand,7,0.08696892195277744,0.1184451248910692,-0.01410718863243582
